instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Royer,Dana    Gilmore,Martha S.",..T.... 08:50AM-10:10AM; ....R.. 01:20PM-04:10PM;,SCIE309;  SCIE309;,30,30,NA,19,NA,NA,NA,NA,NA,FALSE,01,E&ES497,Fall2017,Senior Seminar,FALSE
"Royer,Dana",.....F. 04:10PM-05:10PM;,SCIE409;,19,NA,NA,13,19,NA,NA,NA,NA,FALSE,01,E&ES557,Fall2017,Research Discussion in Earth & Environmental Sciences,FALSE
"Royer,Dana",.....F. 12:20PM-04:10PM;,SCIE405;,25,NA,0,8,NA,NA,NA,25,NA,FALSE,01,E&ES195,Spring2018,Sophomore Field Course,FALSE
"Greenwood,James P.",..T.R.. 10:20AM-11:40AM;,SCIE317;,24,8,8,7,NA,0,0,8,0,FALSE,01,E&ES215,Spring2018,Earth Materials,FALSE
"Gilmore,Martha S.",.M.W... 01:20PM-02:40PM;,VVO110;,20,4,4,12,8,2,2,0,0,FALSE,01,E&ES321,Spring2018,Planetary Evolution,TRUE
"Mirabi,Mostafa",.M.W.F. 08:50AM-09:40AM; .M..... 12:20PM-01:10PM;,SCIE618;  SCIE618;,19,0,0,-1,NA,1,1,5,12,FALSE,01,MATH117,Fall2017,Introductory Calculus,FALSE
"Oliveira,Andre",.M.W.F. 09:50AM-10:40AM; .M..... 12:20PM-01:10PM;,SCIE638;  SCIE638;,19,0,0,0,NA,1,1,5,12,FALSE,02,MATH117,Fall2017,Introductory Calculus,FALSE
"Kaylor,Lisa Marie",.M.W.F. 08:50AM-09:40AM;,SCIE137;,19,NA,NA,9,NA,0,1,6,12,FALSE,01,MATH119,Fall2017,"Elements of Calculus, Part 1",FALSE
"Leidy,Constance",.M.W.F. 10:50AM-11:40AM;,SCIE638;,19,NA,NA,0,NA,0,1,6,12,FALSE,02,MATH119,Fall2017,"Elements of Calculus, Part 1",FALSE
"Huang,Jonathan",.M.W... 02:50PM-04:10PM;,SCIE109;,30,0,0,-1,NA,0,0,0,30,FALSE,01,MATH121,Fall2017,"Calculus I, Part I",FALSE
"Hildum,Alyson",.M.W... 01:20PM-02:40PM;,SCIE121;,30,0,0,-2,NA,0,0,15,15,FALSE,02,MATH121,Fall2017,"Calculus I, Part I",FALSE
"Hildum,Alyson",..T.R.. 01:20PM-02:40PM;,SCIE109;,30,0,0,-1,NA,0,0,15,15,FALSE,03,MATH121,Fall2017,"Calculus I, Part I",FALSE
"Huang,Jonathan",.M.W.F. 09:50AM-10:40AM;,SCIE137;,30,0,0,3,NA,1,1,5,23,FALSE,01,MATH122,Fall2017,"Calculus I, Part II",FALSE
"Huang,Jonathan",.M.W.F. 08:50AM-09:40AM;,SCIE139;,40,0,0,18,NA,1,1,10,28,FALSE,02,MATH122,Fall2017,"Calculus I, Part II",FALSE
